ratio,perturbation_type,perturb_time,embed_time,mean_cosine_similarity,std_cosine_similarity,min_cosine_similarity,median_cosine_similarity,mean_l2_distance,mean_relative_change,std_relative_change,rf_acc_original,rf_acc_perturbed,rf_acc_drop,rf_acc_drop_pct,func,raw_mode,bins,range,harm_bins,harm_range,pol_bins,pol_range
0.01,edge_add,0.490947961807251,2.743837356567383,0.7375396361112239,0.31845595180173475,0.11889640224930109,0.9999999999999998,55.7895264716363,0.44025119870675233,0.49438362003344444,0.4888888888888889,0.47555555555555556,0.013333333333333308,2.727272727272722,harmonic,True,150.0,3.52,,,,
0.05,edge_add,0.7469794750213623,2.811540365219116,0.70014306861488,0.34083336396389297,0.06907354422609811,0.9999999999999998,67.8659385017936,0.4692830777556043,0.5091616485036877,0.4888888888888889,0.4666666666666667,0.0222222222222222,4.5454545454545405,harmonic,True,150.0,3.52,,,,
0.1,edge_add,1.371736764907837,3.06223726272583,0.6572667422615451,0.3836358137615677,0.015018384058052192,0.9999999999999998,74.05028410667146,0.4914170259552105,0.5309180298498399,0.4888888888888889,0.4888888888888889,0.0,0.0,harmonic,True,150.0,3.52,,,,
0.2,edge_add,2.6215660572052,2.6823320388793945,0.6129498909494976,0.4280363074233386,0.017937467749615334,0.9999999999999998,85.14829111363652,0.5342401591932715,0.5798311903387902,0.4888888888888889,0.47555555555555556,0.013333333333333308,2.727272727272722,harmonic,True,150.0,3.52,,,,
0.01,edge_remove,0.2509770393371582,2.5961458683013916,0.8061252037497812,0.21918698786206595,0.20179677949443595,0.894196835798907,36.2505960412984,0.4503058711772178,0.3659500914594746,0.4888888888888889,0.49333333333333335,-0.004444444444444473,-0.909090909090915,harmonic,True,150.0,3.52,,,,
0.05,edge_remove,0.30795860290527344,2.9457085132598877,0.7698856540891398,0.22233422531424643,0.17305821332789867,0.7740907007302666,52.73276943438043,0.5152677089874169,0.35777177827067475,0.4888888888888889,0.4711111111111111,0.01777777777777778,3.6363636363636367,harmonic,True,150.0,3.52,,,,
0.1,edge_remove,0.2709035873413086,2.928105115890503,0.7198906283541714,0.25496960918781225,0.15423549395314345,0.7364630148812179,68.0256607390925,0.59228839851936,0.32625607008226704,0.4888888888888889,0.5066666666666667,-0.017777777777777837,-3.6363636363636487,harmonic,True,150.0,3.52,,,,
0.2,edge_remove,0.27081298828125,2.7931771278381348,0.6311023551881764,0.2511179465835153,0.07134473504823938,0.6822670363710497,87.01315735472073,0.7478817169073773,0.20137695399280944,0.4888888888888889,0.49777777777777776,-0.00888888888888889,-1.8181818181818183,harmonic,True,150.0,3.52,,,,
0.01,edge_add,0.5903472900390625,2.759665012359619,0.8419380569739041,0.24453206413298625,0.1363193604455888,0.9999999999999998,33.405997067821055,0.32224354463325044,0.40118929261084935,0.49777777777777776,0.49333333333333335,0.0044444444444444176,0.8928571428571375,polynomial,True,200.0,3.13,,,,
0.05,edge_add,0.7343251705169678,3.098165988922119,0.7792388691265333,0.27620151259106324,0.11120576012531048,0.9999999999999998,55.40735601410604,0.40172373427528063,0.44649297479457084,0.49777777777777776,0.5022222222222222,-0.004444444444444473,-0.8928571428571487,polynomial,True,200.0,3.13,,,,
0.1,edge_add,1.3018600940704346,3.5338754653930664,0.6971232434735336,0.34585716742773676,0.060255975052170244,0.9999999999999998,68.25965297990105,0.463137938599764,0.49830680160693347,0.49777777777777776,0.49333333333333335,0.0044444444444444176,0.8928571428571375,polynomial,True,200.0,3.13,,,,
0.2,edge_add,2.3440918922424316,3.2695603370666504,0.6258747413654827,0.4060847205939505,0.0012371950375959328,0.9999999999999998,80.69189194258757,0.511634621355023,0.5468924002437853,0.49777777777777776,0.4622222222222222,0.03555555555555556,7.142857142857144,polynomial,True,200.0,3.13,,,,
0.01,edge_remove,0.370086669921875,3.156639575958252,0.748521452734829,0.19938546196295834,0.14855984659599963,0.784599168316077,54.59837415422323,0.617593391180934,0.2455174221377297,0.49777777777777776,0.4888888888888889,0.00888888888888889,1.785714285714286,polynomial,True,200.0,3.13,,,,
0.05,edge_remove,0.2989237308502197,3.1303417682647705,0.6421953536253516,0.2027459659280406,0.0007673884134691056,0.7148720927074366,101.006480497647,0.7526404090944052,0.19088746478448673,0.49777777777777776,0.4622222222222222,0.03555555555555556,7.142857142857144,polynomial,True,200.0,3.13,,,,
0.1,edge_remove,0.28912901878356934,2.7736072540283203,0.39357164126400307,0.19538483952707272,0.001127152450243734,0.35919965234379386,125.50314572031823,0.9362498089349162,0.1325990859545662,0.49777777777777776,0.49333333333333335,0.0044444444444444176,0.8928571428571375,polynomial,True,200.0,3.13,,,,
0.2,edge_remove,0.2822449207305908,3.018503427505493,0.1781539904518428,0.1559223966924388,0.0013314966511408012,0.13749999999999998,137.05787339184434,1.0167111930211261,0.07554061114199291,0.49777777777777776,0.4533333333333333,0.04444444444444445,8.92857142857143,polynomial,True,200.0,3.13,,,,
0.01,edge_add,0.6297030448913574,3.8112266063690186,0.7931076869558821,0.26546053747624143,0.12892582108054151,0.9999999999999999,67.02176232913203,0.3887142956436218,0.4401838231495979,0.5022222222222222,0.4888888888888889,0.013333333333333364,2.654867256637174,hybrid,True,,,150.0,3.52,200.0,3.13
0.05,edge_add,0.7813258171081543,3.981227397918701,0.7441384165929351,0.295843569362087,0.12892582108054151,0.9999999999999999,88.75423193996718,0.4366267912035375,0.47272741197905116,0.5022222222222222,0.4888888888888889,0.013333333333333364,2.654867256637174,hybrid,True,,,150.0,3.52,200.0,3.13
0.1,edge_add,1.4725728034973145,3.875117778778076,0.6807904285330678,0.35598890704537983,0.07747494687716996,0.9999999999999999,101.66249509847451,0.4766502632884639,0.5090235104346676,0.5022222222222222,0.49333333333333335,0.00888888888888889,1.769911504424779,hybrid,True,,,150.0,3.52,200.0,3.13
0.2,edge_add,2.489203691482544,4.176056623458862,0.6202708712111425,0.41300237734531425,0.04089820894211239,0.9999999999999999,118.62453291957502,0.5226562435195978,0.5566926058520748,0.5022222222222222,0.4488888888888889,0.053333333333333344,10.619469026548673,hybrid,True,,,150.0,3.52,200.0,3.13
0.01,edge_remove,0.29037928581237793,3.6264989376068115,0.7789213028231955,0.18425045616081845,0.22372380318018847,0.802541215171833,71.20578038450147,0.5720943542396099,0.2456483672424464,0.5022222222222222,0.49333333333333335,0.00888888888888889,1.769911504424779,hybrid,True,,,150.0,3.52,200.0,3.13
0.05,edge_remove,0.35587239265441895,4.577340602874756,0.7116086881529607,0.1712530389744471,0.22372380318018847,0.7148720927074366,121.07177358734525,0.6787432249727506,0.19039956053639037,0.5022222222222222,0.4533333333333333,0.048888888888888926,9.73451327433629,hybrid,True,,,150.0,3.52,200.0,3.13
0.1,edge_remove,0.2884094715118408,3.509244918823242,0.5785844076599952,0.1750688812191308,0.137726766011196,0.6103081802383177,147.4789178814189,0.8087667895871691,0.1442489987812715,0.5022222222222222,0.49333333333333335,0.00888888888888889,1.769911504424779,hybrid,True,,,150.0,3.52,200.0,3.13
0.2,edge_remove,0.28027796745300293,3.253028154373169,0.4352167135871952,0.14165769262523395,0.07251855924226346,0.4779076174574953,164.75675504349553,0.9023190594882226,0.08266578235339571,0.5022222222222222,0.4888888888888889,0.013333333333333364,2.654867256637174,hybrid,True,,,150.0,3.52,200.0,3.13
